time,COOPERATOR,DEFECTOR,HYBRID,TEMPORAL,PROBABILISTIC
1733078895.809971,4,5,3,3,5
1733078896.924847,4,5,3,3,5
1733078899.7061129,4,5,3,3,5
1733078900.2401333,4,5,3,3,6
1733078900.7625506,5,5,3,3,6
1733078901.2690682,5,5,3,3,7
1733078901.7790923,6,5,3,3,7
1733078902.3098423,6,5,3,3,8
1733078902.8473008,6,5,3,3,9
1733078903.3732653,7,5,3,3,9
1733078903.8838184,8,5,3,3,9
1733078904.4319015,9,5,3,3,9
1733078904.9433682,10,5,3,3,9
1733078905.4616125,11,5,3,3,9
1733078906.0100663,12,5,3,3,9
1733078906.5578978,12,5,3,3,10
1733078907.1098742,12,5,3,3,11
1733078907.6246932,13,5,3,3,11
1733078908.127126,14,5,3,3,11
1733078908.6561992,15,5,3,3,11
1733078909.187289,16,5,3,3,11
1733078909.6982,17,5,3,3,11
1733078910.218258,17,5,3,3,12
1733078910.7190852,18,5,3,3,12
1733078911.2694528,19,5,3,3,12
1733078911.8122132,20,5,3,3,12
1733078912.3323348,21,5,3,3,12
1733078912.8778052,22,5,3,3,12
1733078913.3989246,23,5,3,3,12
1733078913.9022312,24,5,3,3,12
1733078914.4136562,25,5,3,3,12
1733078914.9358244,26,5,3,3,12
1733078915.5961041,27,5,3,3,12
1733078916.1445775,28,5,3,3,12
1733078916.6523414,29,5,3,3,12
1733078917.169981,30,5,3,3,12
1733078917.7168467,30,5,3,3,13
1733078918.240167,30,5,3,3,14
1733078918.7897894,31,5,3,3,14
1733078919.3532832,32,5,3,3,14
1733078919.9068515,33,5,3,3,14
1733078920.4190445,33,5,3,3,15
1733078920.9267867,33,5,3,3,16
1733078921.4848337,33,5,3,3,17
1733078922.0443006,34,5,3,3,17
1733078922.5702393,34,5,3,3,18
1733078923.0732179,34,5,3,3,19
1733078923.6110857,34,5,3,3,20
1733078924.1412249,34,5,3,3,21
1733078924.7655754,34,5,3,3,22
1733078925.3119075,34,5,3,3,23
1733078925.917325,35,5,3,3,23
1733078926.7629774,35,5,3,3,24
1733078927.5230272,35,5,3,3,25
1733078928.0298376,35,5,3,3,26
1733078928.5721176,35,5,3,3,27
1733078929.1229594,35,5,3,3,28
1733078929.6996074,35,5,3,3,29
1733078930.2290301,36,5,3,3,29
1733078930.7538815,37,5,3,3,29
1733078931.3030982,38,5,3,3,29
